,AT,SA,DA,Length,SRCE,DSTI
3807,2020-05-23 21:00:00+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:16,328,Phone1,Actie_uitsturen
3812,2020-05-23 21:00:05+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,2184,Google_home,Actie_uitsturen
3814,2020-05-23 21:00:05+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,492,Phone1,Actie_uitsturen
3815,2020-05-23 21:00:05+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,2034,Google_speaker,Actie_uitsturen
3827,2020-05-23 21:00:15+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,3608,Google_speaker,Actie_uitsturen
3829,2020-05-23 21:00:15+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,2721,Google_home,Actie_uitsturen
3832,2020-05-23 21:00:15+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,786,Phone1,Actie_uitsturen
3834,2020-05-23 21:00:20+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,2184,Google_home,Actie_uitsturen
3838,2020-05-23 21:00:20+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,738,Phone1,Actie_uitsturen
3840,2020-05-23 21:00:20+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,520,Google_speaker,Actie_uitsturen
3850,2020-05-23 21:00:35+02:00,c4:ea:1d:e6:79:e8,01:00:5e:00:00:01,160,Router_intern,Actie_uitsturen
3852,2020-05-23 21:00:35+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:16,180,Google_speaker,Actie_uitsturen
3856,2020-05-23 21:00:40+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,497,Google_speaker,Actie_uitsturen
3859,2020-05-23 21:00:40+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,246,Phone1,Actie_uitsturen
3861,2020-05-23 21:00:40+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,1092,Google_home,Actie_uitsturen
3864,2020-05-23 21:00:45+02:00,e4:ce:8f:62:3b:53,01:00:5e:7f:ff:fa,981,Desktop,Actie_uitsturen
3877,2020-05-23 21:00:55+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,2076,Google_speaker,Actie_uitsturen
3879,2020-05-23 21:00:55+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:16,164,Phone1,Actie_uitsturen
3880,2020-05-23 21:00:55+02:00,ec:b5:fa:20:73:ef,01:00:5e:7f:ff:fa,1865,PhilipsHue,Actie_uitsturen
3881,2020-05-23 21:00:55+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,756,Google_home,Actie_uitsturen
3892,2020-05-23 21:01:10+02:00,e4:ce:8f:4c:29:ae,01:00:5e:7f:ff:fa,654,Laptop,Actie_uitsturen
3924,2020-05-23 21:01:45+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,1017,Google_speaker,Actie_uitsturen
3927,2020-05-23 21:01:45+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:16,328,Phone1,Actie_uitsturen
3928,2020-05-23 21:01:45+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,2184,Google_home,Actie_uitsturen
3930,2020-05-23 21:01:45+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,738,Phone1,Actie_uitsturen
3935,2020-05-23 21:01:50+02:00,ec:b5:fa:20:73:ef,01:00:5e:7f:ff:fa,1856,PhilipsHue,Actie_uitsturen
3947,2020-05-23 21:02:05+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,1092,Google_home,Actie_uitsturen
3951,2020-05-23 21:02:05+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,1017,Google_speaker,Actie_uitsturen
3954,2020-05-23 21:02:05+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,246,Phone1,Actie_uitsturen
3962,2020-05-23 21:02:15+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:16,328,Phone1,Actie_uitsturen
3966,2020-05-23 21:02:15+02:00,c4:ea:1d:e6:79:e8,01:00:5e:00:00:01,160,Router_intern,Actie_uitsturen
3974,2020-05-23 21:02:25+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:16,180,Google_speaker,Actie_uitsturen
3983,2020-05-23 21:02:35+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,2845,Google_speaker,Actie_uitsturen
3984,2020-05-23 21:02:35+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,3246,Google_home,Actie_uitsturen
3990,2020-05-23 21:02:40+02:00,ec:b5:fa:20:73:ef,01:00:5e:7f:ff:fa,2790,PhilipsHue,Actie_uitsturen
3993,2020-05-23 21:02:45+02:00,e4:ce:8f:62:3b:53,01:00:5e:7f:ff:fa,1308,Desktop,Actie_uitsturen
3998,2020-05-23 21:02:50+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,2184,Google_home,Actie_uitsturen
4000,2020-05-23 21:02:50+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:16,164,Phone1,Actie_uitsturen
4002,2020-05-23 21:02:50+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,738,Phone1,Actie_uitsturen
4003,2020-05-23 21:02:50+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,2034,Google_speaker,Actie_uitsturen
4023,2020-05-23 21:03:10+02:00,e4:ce:8f:4c:29:ae,01:00:5e:7f:ff:fa,1308,Laptop,Actie_uitsturen
4026,2020-05-23 21:03:10+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,246,Phone1,Actie_uitsturen
4028,2020-05-23 21:03:10+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,497,Google_speaker,Actie_uitsturen
4038,2020-05-23 21:03:25+02:00,e4:ce:8f:62:3b:53,01:00:5e:00:00:fb,420,Desktop,Actie_uitsturen
4040,2020-05-23 21:03:25+02:00,e4:ce:8f:62:3b:53,33:33:00:00:00:fb,440,Desktop,Actie_uitsturen
4046,2020-05-23 21:03:30+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,1017,Google_speaker,Actie_uitsturen
4047,2020-05-23 21:03:30+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,1092,Google_home,Actie_uitsturen
4050,2020-05-23 21:03:30+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,246,Phone1,Actie_uitsturen
4062,2020-05-23 21:03:45+02:00,ec:b5:fa:20:73:ef,01:00:5e:7f:ff:fa,2790,PhilipsHue,Actie_uitsturen
4064,2020-05-23 21:03:50+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,246,Phone1,Actie_uitsturen
4066,2020-05-23 21:03:50+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,1092,Google_home,Actie_uitsturen
4074,2020-05-23 21:03:55+02:00,c4:ea:1d:e6:79:e8,01:00:5e:00:00:01,160,Router_intern,Actie_uitsturen
4080,2020-05-23 21:04:00+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,3962,Google_home,Actie_uitsturen
4096,2020-05-23 21:04:20+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,246,Phone1,Actie_uitsturen
4099,2020-05-23 21:04:25+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,2163,Google_speaker,Actie_uitsturen
4101,2020-05-23 21:04:25+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,1571,Google_home,Actie_uitsturen
4107,2020-05-23 21:04:30+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:16,164,Phone1,Actie_uitsturen
4108,2020-05-23 21:04:30+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,426,Google_home,Actie_uitsturen
4112,2020-05-23 21:04:30+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,1033,Google_speaker,Actie_uitsturen
4116,2020-05-23 21:04:35+02:00,ec:b5:fa:20:73:ef,01:00:5e:7f:ff:fa,1395,PhilipsHue,Actie_uitsturen
4120,2020-05-23 21:04:35+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,1957,Google_home,Actie_uitsturen
4121,2020-05-23 21:04:35+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,246,Phone1,Actie_uitsturen
4123,2020-05-23 21:04:35+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,3192,Google_speaker,Actie_uitsturen
4133,2020-05-23 21:04:45+02:00,e4:ce:8f:62:3b:53,01:00:5e:7f:ff:fa,1308,Desktop,Actie_uitsturen
4135,2020-05-23 21:04:45+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:16,328,Phone1,Actie_uitsturen
4136,2020-05-23 21:04:45+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,497,Google_speaker,Actie_uitsturen
4138,2020-05-23 21:04:45+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,2220,Google_home,Actie_uitsturen
4140,2020-05-23 21:04:45+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,984,Phone1,Actie_uitsturen
4168,2020-05-23 21:05:10+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,492,Phone1,Actie_uitsturen
4169,2020-05-23 21:05:10+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:16,328,Phone1,Actie_uitsturen
4172,2020-05-23 21:05:10+02:00,e4:ce:8f:4c:29:ae,01:00:5e:7f:ff:fa,1308,Laptop,Actie_uitsturen
4173,2020-05-23 21:05:15+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,1689,Google_home,Actie_uitsturen
4174,2020-05-23 21:05:15+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,246,Phone1,Actie_uitsturen
4178,2020-05-23 21:05:15+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,2034,Google_speaker,Actie_uitsturen
4179,2020-05-23 21:05:15+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:16,328,Phone1,Actie_uitsturen
4192,2020-05-23 21:05:30+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,1260,Google_speaker,Actie_uitsturen
4197,2020-05-23 21:05:35+02:00,c4:ea:1d:e6:79:e8,01:00:5e:00:00:01,160,Router_intern,Actie_uitsturen
4198,2020-05-23 21:05:35+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:16,180,Google_speaker,Actie_uitsturen
4200,2020-05-23 21:05:35+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,1780,Google_speaker,Actie_uitsturen
4208,2020-05-23 21:05:40+02:00,ec:b5:fa:20:73:ef,01:00:5e:7f:ff:fa,2326,PhilipsHue,Actie_uitsturen
4209,2020-05-23 21:05:45+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,533,Google_speaker,Actie_uitsturen
4212,2020-05-23 21:05:45+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,598,Google_home,Actie_uitsturen
4226,2020-05-23 21:06:00+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,492,Phone1,Actie_uitsturen
4227,2020-05-23 21:06:00+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,1110,Google_home,Actie_uitsturen
4230,2020-05-23 21:06:00+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:16,164,Phone1,Actie_uitsturen
4233,2020-05-23 21:06:05+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,2034,Google_speaker,Actie_uitsturen
4234,2020-05-23 21:06:05+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,246,Phone1,Actie_uitsturen
4236,2020-05-23 21:06:05+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,531,Google_home,Actie_uitsturen
4245,2020-05-23 21:06:15+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,3432,Google_home,Actie_uitsturen
4250,2020-05-23 21:06:20+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:16,164,Phone1,Actie_uitsturen
4259,2020-05-23 21:06:25+02:00,c4:ea:1d:e6:79:e8,01:00:5e:7f:ff:fa,3926,Router_intern,Actie_uitsturen
